Run,Condition,BioReplicate
JD_06232014_sample1-A.raw,Condition1,1
JD_06232014_sample1_B.raw,Condition1,2
JD_06232014_sample1_C.raw,Condition1,3
JD_06232014_sample2_A.raw,Condition2,4
JD_06232014_sample2_B.raw,Condition2,5
JD_06232014_sample2_C.raw,Condition2,6
JD_06232014_sample3_A.raw,Condition3,7
JD_06232014_sample3_B.raw,Condition3,8
JD_06232014_sample3_C.raw,Condition3,9
JD_06232014_sample4_B.raw,Condition4,10
JD_06232014_sample4-A.raw,Condition4,11
JD_06232014_sample4_C.raw,Condition4,12